L:D02BF,L:D03BF,L:D11BF,L:D12BF,L:D13BF,L:D21BF,L:D22BF,L:D23BF,L:D31BF,L:D32BF,L:D33BF,L:D34BF,L:D41BF,L:D42BF,L:D43BF,L:D51BF,L:D52BF,L:D53BF,L:D54BF,L:D61BF,L:D62BF,L:D63BF,L:D64BF,L:D71BF,L:D72BF,L:D73BF,L:D74BF
116.3097233184477,84.30617752847023,-78.45694266425105,-95.30952552352583,155.08138411036663,-67.05666707192306,-70.33110720747271,-166.17858899884794,-139.71908116480216,110.89524319252304,7.060000454971767,-90.25362758097836,-176.3514358392042,-20.543308942309192,150.18557710029523,-79.23665255735932,130.0745341193941,-1.3087262666522377,45.88453670354318,-174.17710607011304,79.78609314748225,32.407383888346814,42.10970998923559,97.228369997301,104.8378844339639,-81.89041988306771,94.52860690341568
114.2882389434477,84.47646561440773,-77.96805106268855,-95.82038978133832,155.27913801661663,-67.32033894692306,-70.42449099653521,-167.16186536603544,-139.21371007105216,110.95566799721055,7.966372525284267,-90.32503871379087,-175.17040556576669,-20.77951499699669,148.88919038154523,-79.30257052610932,130.5139872443941,-1.6987409150897377,46.09327693791818,-174.08372228105054,79.88497010060725,32.769932716471814,42.45028616111059,96.986670778551,103.7612242777139,-82.78031246119271,94.22098971591568
116.5733951934477,83.99306717690773,-78.20975028143855,-95.42488196883832,155.05391829005413,-66.91933797036056,-70.69365603559771,-167.33215345197294,-139.56527257105216,108.78037502846055,7.521426236221767,-90.63814906535336,-177.06005400326669,-20.96628257512169,150.09768647529523,-79.55525607298432,130.4975077522066,-1.3526715791522377,45.15943904729318,-174.16611974198804,79.92342224904475,32.868809669596814,42.38986135642309,97.151465700426,104.7829527933389,-82.03324214869271,93.95731784091568
116.7656559356352,84.61928788003273,-78.25369559393855,-96.23237708602583,154.71334211817913,-67.28188679848556,-70.56182009809771,-167.24426282697294,-139.19723057886466,111.02707913002304,7.724673306534267,-90.64913539347836,-175.36815947201669,-20.960789411059192,149.71316499092023,-79.25313204954682,130.6952616584566,-1.6053571260272377,45.26930232854318,-174.35288732011304,79.59383240529475,33.061070411784314,42.56564260642309,97.05808191136347,105.1235289652139,-82.29691402369271,94.2924008487282
116.3591617950102,83.55910721597023,-78.37454520331355,-95.19416907821332,155.14180891505413,-67.03469441567306,-70.39153201216021,-166.97509778791044,-139.97176671167716,108.96164944252304,7.197329556534267,-91.87411097941587,-175.49999540951669,-20.59274741887169,150.02627534248273,-79.40694064329682,130.0690409553316,-1.3416852510272377,45.83509822698068,-174.12217442948804,79.91792908498225,32.401890724284314,41.96688772361059,97.03610925511347,104.7280211527139,-82.09916011744271,93.6661801456032
117.0732731231352,85.03676834878273,-79.90713797675105,-95.93574622665083,154.86715071192913,-67.62246297036056,-70.34209353559771,-166.18408216291044,-139.06539464136466,111.05454495033555,7.625796353409267,-90.66561488566587,-175.2747756829542,-20.65866538762169,149.13638276435773,-79.12678927610932,130.5853983772066,-1.7316998994647377,45.94496150823068,-174.99558751542554,79.74764099904475,32.698521583659314,42.54916311423559,97.074561403551,103.9919371683389,-82.47269527369271,94.63847018466568
116.5953678496977,83.80629959878273,-78.33059989081355,-95.41938880477583,154.82869856349163,-66.81496785317306,-70.44646365278521,-166.42028821759794,-139.83993077417716,111.34568264564804,7.395083462784267,-91.64339808879087,-175.97240751889169,-20.653172223559192,150.13064545967023,-79.54426974485932,130.3162333381441,-1.4076032197772377,45.25282283635568,-175.01756017167554,79.84102478810725,32.797398536784314,42.37338186423559,97.23386316136347,104.9147887308389,-81.84098140650521,93.99027682529068
114.7936100371977,85.21254959878273,-80.28067313300105,-96.22688392196332,154.62545149317913,-67.49612019692306,-70.27068240278521,-166.01928724103544,-139.05440831323966,110.32395413002304,7.581851040909267,-90.78646449504087,-175.32421415951669,-20.68063804387169,149.69668549873273,-78.97847384642182,130.6732890022066,-1.7207135713397377,45.80763240666818,-175.09995763261304,79.56636658498225,32.863316505534314,42.73593069236059,97.21189050511347,103.8765807230264,-82.19254390650521,94.7428403018532
116.3207096465727,83.70742264565773,-78.42398367987605,-95.43586829696332,155.00997297755413,-67.14455769692306,-70.36955935591021,-166.82128919416044,-139.99923253198966,110.90073635658555,6.972109829971767,-90.28109340129087,-176.42284697201669,-20.60373374699669,150.08670014717023,-79.35200900267182,130.0690409553316,-1.3966168916522377,45.86805721135568,-174.86375157792554,79.91243592091975,32.341465919596814,41.96688772361059,97.05808191136347,104.7664733011514,-81.98929683619271,95.08890963779068
117.4248356231352,84.93789139565773,-77.85269461737605,-95.87532142196332,155.03743879786663,-67.52358601723556,-70.39153201216021,-166.97509778791044,-139.10933995386466,111.57090237221055,7.603823697159267,-90.49532679972836,-175.23632353451669,-20.79050132512169,149.21878022529523,-79.09932345579682,130.3711649787691,-1.6547956025897377,46.17018123479318,-174.23203771073804,79.72566834279475,32.445836036784314,42.27450491111059,97.02512292698847,103.8216490824014,-82.57157222681771,94.44071627841568
